,action_type,combined_shot_type,loc_x,loc_y,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_name,matchup,opponent,year
9249,Jump Shot,Jump Shot,156,17,7,3,0,2006-07,14,15,Miss,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL @ MEM,MEM,2006
9250,Jump Shot,Jump Shot,47,23,6,3,0,2006-07,6,5,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL @ MEM,MEM,2006
9251,Jump Shot,Jump Shot,161,220,3,3,0,2006-07,23,27,Hit,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL @ MEM,MEM,2006
9252,Fadeaway Jump Shot,Jump Shot,172,117,0,3,0,2006-07,5,20,Hit,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ MEM,MEM,2006
9253,Alley Oop Layup shot,Layup,0,0,11,4,0,2006-07,40,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ MEM,MEM,2006
9254,Jump Shot,Jump Shot,172,209,10,4,0,2006-07,59,27,Miss,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL @ MEM,MEM,2006
9255,Jump Shot,Jump Shot,-54,161,9,4,0,2006-07,1,16,Miss,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ MEM,MEM,2006
9256,Driving Layup Shot,Layup,0,0,8,4,0,2006-07,40,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ MEM,MEM,2006
9257,Jump Shot,Jump Shot,133,20,6,4,0,2006-07,54,13,Miss,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL @ MEM,MEM,2006
9258,Jump Shot,Jump Shot,79,202,5,4,0,2006-07,58,21,Hit,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ MEM,MEM,2006
9259,Jump Shot,Jump Shot,-181,25,5,4,0,2006-07,20,18,Miss,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ MEM,MEM,2006
9260,Layup Shot,Layup,0,0,1,4,0,2006-07,42,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ MEM,MEM,2006
9261,Jump Shot,Jump Shot,133,164,0,4,0,2006-07,38,21,Miss,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ MEM,MEM,2006
9262,Jump Shot,Jump Shot,-141,110,9,1,0,2006-07,28,17,Miss,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ NOK,NOP,2006
9263,Jump Shot,Jump Shot,13,206,4,1,0,2006-07,17,20,Miss,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ NOK,NOP,2006
9264,Turnaround Jump Shot,Jump Shot,176,10,3,1,0,2006-07,44,17,Hit,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ NOK,NOP,2006
9265,Jump Shot,Jump Shot,220,104,2,1,0,2006-07,38,24,Miss,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL @ NOK,NOP,2006
9266,Jump Shot,Jump Shot,212,127,2,1,0,2006-07,19,24,Miss,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL @ NOK,NOP,2006
9267,Jump Shot,Jump Shot,-117,109,11,2,0,2006-07,16,15,Miss,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL @ NOK,NOP,2006
9268,Fadeaway Jump Shot,Jump Shot,-138,22,9,2,0,2006-07,39,13,Hit,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL @ NOK,NOP,2006
9269,Jump Shot,Jump Shot,10,166,5,2,0,2006-07,52,16,Miss,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ NOK,NOP,2006
9270,Jump Shot,Jump Shot,166,72,3,2,0,2006-07,37,18,Miss,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ NOK,NOP,2006
9271,Dunk Shot,Dunk,0,0,3,2,0,2006-07,24,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ NOK,NOP,2006
9272,Jump Shot,Jump Shot,29,179,2,2,0,2006-07,0,18,Hit,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ NOK,NOP,2006
9273,Jump Shot,Jump Shot,-94,173,1,2,0,2006-07,23,19,Hit,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ NOK,NOP,2006
9274,Jump Bank Shot,Jump Shot,-72,56,10,3,0,2006-07,36,9,Hit,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,Los Angeles Lakers,LAL @ NOK,NOP,2006
9275,Turnaround Jump Shot,Jump Shot,100,89,9,3,0,2006-07,58,13,Hit,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL @ NOK,NOP,2006
9276,Jump Shot,Jump Shot,-135,209,9,3,0,2006-07,32,24,Hit,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL @ NOK,NOP,2006
9277,Jump Shot,Jump Shot,8,48,5,3,0,2006-07,30,4,Hit,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL @ NOK,NOP,2006
9278,Jump Shot,Jump Shot,-222,2,4,3,0,2006-07,55,22,Hit,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,Los Angeles Lakers,LAL @ NOK,NOP,2006
9279,Jump Shot,Jump Shot,-158,36,2,3,0,2006-07,1,16,Hit,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ NOK,NOP,2006
9280,Jump Shot,Jump Shot,-192,7,9,4,0,2006-07,45,19,Miss,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ NOK,NOP,2006
9281,Jump Shot,Jump Shot,-3,130,9,4,0,2006-07,18,13,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Los Angeles Lakers,LAL @ NOK,NOP,2006
9282,Jump Shot,Jump Shot,-146,130,5,4,0,2006-07,13,19,Hit,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ NOK,NOP,2006
9283,Jump Shot,Jump Shot,80,164,4,4,0,2006-07,20,18,Miss,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ NOK,NOP,2006
9284,Driving Layup Shot,Layup,0,0,11,1,0,2006-07,28,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2006
9285,Jump Shot,Jump Shot,128,240,10,1,0,2006-07,40,27,Hit,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2006
9286,Jump Shot,Jump Shot,87,196,10,1,0,2006-07,19,21,Hit,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2006
9287,Jump Bank Shot,Jump Shot,20,49,9,1,0,2006-07,56,5,Hit,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2006
9288,Jump Shot,Jump Shot,172,181,9,1,0,2006-07,18,24,Miss,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2006
9289,Jump Shot,Jump Shot,-130,127,7,1,0,2006-07,43,18,Miss,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2006
9290,Jump Shot,Jump Shot,-33,28,7,1,0,2006-07,9,4,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2006
9291,Jump Shot,Jump Shot,128,237,5,1,0,2006-07,10,26,Miss,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2006
9292,Driving Layup Shot,Layup,0,0,4,1,0,2006-07,45,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2006
9293,Jump Shot,Jump Shot,98,173,3,1,0,2006-07,53,19,Hit,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2006
9294,Jump Shot,Jump Shot,-153,-6,3,1,0,2006-07,11,15,Hit,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2006
9295,Jump Shot,Jump Shot,113,150,1,1,0,2006-07,53,18,Miss,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2006
9296,Jump Shot,Jump Shot,92,155,0,1,0,2006-07,55,18,Miss,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2006
9297,Jump Shot,Jump Shot,59,20,0,1,0,2006-07,31,6,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2006
9298,Running Jump Shot,Jump Shot,-2,84,11,2,0,2006-07,16,8,Hit,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2006
9299,Jump Shot,Jump Shot,125,114,0,2,0,2006-07,36,16,Hit,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2006
9300,Jump Shot,Jump Shot,85,240,9,3,0,2006-07,52,25,Miss,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2006
9301,Jump Shot,Jump Shot,41,176,9,3,0,2006-07,10,18,Miss,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2006
9302,Jump Shot,Jump Shot,172,23,8,3,0,2006-07,54,17,Miss,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2006
9303,Jump Shot,Jump Shot,154,224,3,3,0,2006-07,34,27,Hit,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2006
9304,Jump Shot,Jump Shot,-36,230,3,3,0,2006-07,1,23,Miss,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2006
9305,Jump Bank Shot,Jump Shot,-94,94,2,3,0,2006-07,49,13,Hit,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2006
9306,Jump Shot,Jump Shot,92,181,1,3,0,2006-07,59,20,Miss,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2006
9307,Jump Shot,Jump Shot,230,26,0,3,0,2006-07,49,23,Miss,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2006
9308,Jump Shot,Jump Shot,228,25,0,3,0,2006-07,46,22,Hit,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2006
9309,Jump Shot,Jump Shot,66,271,0,3,0,2006-07,1,27,Miss,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2006
9310,Jump Shot,Jump Shot,-25,268,7,4,0,2006-07,57,26,Hit,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2006
9311,Running Jump Shot,Jump Shot,74,222,7,4,0,2006-07,14,23,Hit,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2006
9312,Jump Shot,Jump Shot,95,250,6,4,0,2006-07,6,26,Miss,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2006
9313,Jump Shot,Jump Shot,115,247,1,4,0,2006-07,3,27,Miss,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. GSW,GSW,2006
9314,Jump Shot,Jump Shot,1,97,11,1,0,2006-07,7,9,Hit,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Los Angeles Lakers,LAL vs. MEM,MEM,2006
9315,Jump Shot,Jump Shot,-125,240,10,1,0,2006-07,33,27,Hit,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. MEM,MEM,2006
9316,Running Jump Shot,Jump Shot,57,100,9,1,0,2006-07,20,11,Hit,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Los Angeles Lakers,LAL vs. MEM,MEM,2006
9317,Jump Shot,Jump Shot,171,12,8,1,0,2006-07,25,17,Miss,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. MEM,MEM,2006
9318,Layup Shot,Layup,0,0,7,1,0,2006-07,48,0,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. MEM,MEM,2006
9319,Jump Shot,Jump Shot,107,242,6,1,0,2006-07,10,26,Miss,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. MEM,MEM,2006
9320,Jump Shot,Jump Shot,131,118,4,1,0,2006-07,57,17,Miss,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. MEM,MEM,2006
9321,Jump Shot,Jump Shot,-232,10,7,2,0,2006-07,36,23,Miss,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,Los Angeles Lakers,LAL vs. MEM,MEM,2006
9322,Layup Shot,Layup,0,0,6,2,0,2006-07,18,0,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. MEM,MEM,2006
9323,Jump Shot,Jump Shot,-191,164,5,2,0,2006-07,36,25,Hit,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. MEM,MEM,2006
9324,Jump Shot,Jump Shot,232,13,2,2,0,2006-07,9,23,Miss,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,Los Angeles Lakers,LAL vs. MEM,MEM,2006
9325,Jump Shot,Jump Shot,110,181,0,2,0,2006-07,0,21,Miss,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. MEM,MEM,2006
9326,Jump Shot,Jump Shot,-67,97,11,3,0,2006-07,13,11,Miss,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,Los Angeles Lakers,LAL vs. MEM,MEM,2006
9327,Layup Shot,Layup,0,0,10,3,0,2006-07,56,0,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. MEM,MEM,2006
9328,Layup Shot,Layup,0,0,9,3,0,2006-07,52,0,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. MEM,MEM,2006
9329,Jump Shot,Jump Shot,167,45,8,3,0,2006-07,43,17,Miss,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. MEM,MEM,2006
9330,Jump Shot,Jump Shot,-13,76,4,3,0,2006-07,44,7,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL vs. MEM,MEM,2006
9331,Jump Shot,Jump Shot,102,196,2,3,0,2006-07,52,22,Miss,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. MEM,MEM,2006
9332,Jump Shot,Jump Shot,149,210,11,4,0,2006-07,46,25,Miss,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. MEM,MEM,2006
9333,Jump Shot,Jump Shot,120,107,10,4,0,2006-07,58,16,Hit,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. MEM,MEM,2006
9334,Jump Shot,Jump Shot,144,99,9,4,0,2006-07,56,17,Miss,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. MEM,MEM,2006
9335,Layup Shot,Layup,0,0,9,4,0,2006-07,34,0,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. MEM,MEM,2006
9336,Layup Shot,Layup,0,0,9,4,0,2006-07,21,0,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. MEM,MEM,2006
9337,Jump Shot,Jump Shot,159,0,0,4,0,2006-07,1,15,Miss,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. MEM,MEM,2006
9338,Fadeaway Jump Shot,Jump Shot,-23,207,10,1,0,2006-07,45,20,Hit,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9339,Jump Shot,Jump Shot,-148,148,10,1,0,2006-07,11,20,Hit,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9340,Jump Shot,Jump Shot,115,89,8,1,0,2006-07,56,14,Hit,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9341,Jump Bank Shot,Jump Shot,15,166,6,1,0,2006-07,47,16,Miss,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9342,Jump Shot,Jump Shot,39,161,5,1,0,2006-07,38,16,Miss,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9343,Jump Shot,Jump Shot,138,138,3,1,0,2006-07,16,19,Miss,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9344,Turnaround Jump Shot,Jump Shot,-13,128,2,1,0,2006-07,4,12,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9345,Jump Shot,Jump Shot,-41,261,0,1,0,2006-07,0,26,Miss,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9346,Jump Shot,Jump Shot,192,-23,11,2,0,2006-07,38,19,Hit,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9347,Fadeaway Jump Shot,Jump Shot,-56,132,11,2,0,2006-07,5,14,Hit,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9348,Turnaround Jump Shot,Jump Shot,125,-34,9,2,0,2006-07,13,12,Hit,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9349,Jump Shot,Jump Shot,130,61,5,2,0,2006-07,39,14,Miss,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9350,Jump Bank Shot,Jump Shot,-39,38,5,2,0,2006-07,20,5,Hit,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9351,Jump Shot,Jump Shot,-66,194,4,2,0,2006-07,28,20,Hit,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9352,Jump Shot,Jump Shot,64,138,3,2,0,2006-07,7,15,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9353,Layup Shot,Layup,0,0,2,2,0,2006-07,36,0,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9354,Jump Shot,Jump Shot,107,146,1,2,0,2006-07,35,18,Miss,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9355,Jump Shot,Jump Shot,-149,13,0,2,0,2006-07,3,14,Hit,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9356,Jump Shot,Jump Shot,-41,230,10,3,0,2006-07,19,23,Miss,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9357,Jump Shot,Jump Shot,120,140,8,3,0,2006-07,17,18,Miss,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9358,Jump Shot,Jump Shot,-113,229,4,3,0,2006-07,38,25,Miss,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9359,Driving Dunk Shot,Dunk,0,0,4,3,0,2006-07,22,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9360,Jump Shot,Jump Shot,-110,63,1,3,0,2006-07,17,12,Miss,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9361,Jump Shot,Jump Shot,-123,155,11,4,0,2006-07,6,19,Miss,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9362,Jump Shot,Jump Shot,-140,122,10,4,0,2006-07,4,18,Miss,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9363,Jump Shot,Jump Shot,181,35,5,4,0,2006-07,47,18,Miss,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9364,Jump Shot,Jump Shot,39,178,4,4,0,2006-07,46,18,Miss,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9365,Jump Shot,Jump Shot,102,253,4,4,0,2006-07,7,27,Hit,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9366,Driving Hook Shot,Hook Shot,-23,36,3,4,0,2006-07,36,4,Hit,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9367,Jump Shot,Jump Shot,113,245,3,4,0,2006-07,1,26,Miss,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9368,Running Jump Shot,Jump Shot,115,82,2,4,0,2006-07,18,14,Hit,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9369,Jump Shot,Jump Shot,108,242,1,4,0,2006-07,47,26,Hit,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9370,Jump Shot,Jump Shot,67,237,1,4,0,2006-07,0,24,Miss,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9371,Jump Shot,Jump Shot,97,255,0,4,0,2006-07,32,27,Miss,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9372,Jump Shot,Jump Shot,-186,184,0,4,0,2006-07,11,26,Hit,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9373,Fadeaway Jump Shot,Jump Shot,28,194,4,5,0,2006-07,46,19,Hit,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9374,Jump Shot,Jump Shot,181,5,4,5,0,2006-07,11,18,Miss,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9375,Jump Shot,Jump Shot,-154,135,3,5,0,2006-07,30,20,Hit,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9376,Running Jump Shot,Jump Shot,-113,110,1,5,0,2006-07,26,15,Hit,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9377,Jump Shot,Jump Shot,204,35,0,5,0,2006-07,34,20,Miss,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9378,Jump Shot,Jump Shot,16,276,0,5,0,2006-07,2,27,Miss,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2006
9379,Jump Shot,Jump Shot,-118,150,10,1,0,2006-07,33,19,Miss,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. SAC,SAC,2006
9380,Jump Shot,Jump Shot,6,199,7,1,0,2006-07,44,19,Miss,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. SAC,SAC,2006
9381,Jump Shot,Jump Shot,135,164,5,1,0,2006-07,0,21,Miss,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. SAC,SAC,2006
9382,Dunk Shot,Dunk,0,0,9,2,0,2006-07,34,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. SAC,SAC,2006
9383,Jump Shot,Jump Shot,97,150,4,2,0,2006-07,53,17,Hit,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. SAC,SAC,2006
9384,Jump Shot,Jump Shot,-95,161,2,2,0,2006-07,48,18,Hit,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. SAC,SAC,2006
9385,Jump Shot,Jump Shot,113,174,11,3,0,2006-07,16,20,Miss,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. SAC,SAC,2006
